y_test,y_pred
2930.620413609073,2982.3853
2787.024683122081,2915.3604
2915.943962641762,2832.628
2495.1634422948637,2908.9478
2794.69646430954,2626.985
2936.457638425617,2779.0466
3015.343562374916,2807.1643
2936.4576384256166,2901.0098
2888.759172781854,2882.0955
2859.7398265510333,2856.5159
2642.428285523683,2846.1675
2793.8625750500323,2715.4565
2935.790527018012,2755.664
3193.6290860573704,2850.0496
3188.1254169446293,3026.4873
2967.3115410273517,3060.1953
3210.640426951301,2965.7024
2876.9179452968647,3142.557
3068.045363575717,2919.67
3267.5116744496336,3081.7905
3312.7084723148764,3170.379
3125.583722481654,3220.4004
3482.8218812541695,3164.209
3619.7464976651095,3378.2222
3072.7151434289526,3462.581
3452.301534356238,3184.286
3727.985323549032,3406.1099
3725.4836557705125,3547.0913
3896.764509673114,3595.1138
3457.1380920613747,3769.0618
3554.869913275517,3496.8845
3050.533689126083,3577.6362
3342.895263509006,3225.1934
3405.436957971982,3404.6614
3637.4249499666453,3352.3845
3197.6317545030024,3554.7112
3593.0620413609067,3300.7751
3806.2041360907274,3557.5266
3556.3709139426282,3641.2275
3670.1134089392926,3574.855
3729.819879919946,3664.9568
3292.5283522348223,3692.999
3771.0140093395594,3456.4858
3902.60173448966,3736.7024
3960.8072048032013,3763.7993
3220.9806537691784,3869.3682
3613.9092728485657,3462.939
3582.3882588392266,3688.0444
3448.4656437625067,3584.3088
3916.6110740493655,3549.04
3653.4356237491666,3801.4858
3771.847898599067,3611.748
3482.988659106071,3762.069
3493.995997331555,3546.819
3466.977985323549,3586.5623
3479.653102068045,3500.3374
3424.449633088726,3507.1118
3577.384923282189,3442.594
3477.1514342895266,3556.8623
3160.106737825218,3455.6626
3283.3555703802535,3280.2607
3422.2815210140097,3303.7832
3374.2494996664427,3373.0322
3536.5243495663767,3354.9917
3636.4242828552356,3473.1257
3385.2568378919264,3525.5166
2943.9626417611735,3439.227
3047.865243495665,3202.8076
3476.984656437625,3220.0376
3362.7418278852574,3373.1804
3276.8512341561045,3352.164
3334.556370913943,3339.1064
3652.7685123415613,3366.1416
