y_test,y_pred
3481.707317073171,3484.5266
4012.195121951219,3505.3389
3771.341463414634,3712.48
3612.8048780487798,3782.0566
3598.069105691057,3742.5737
3434.451219512195,3698.4512
3601.6260162601616,3612.7405
3637.19512195122,3615.1018
3993.3943089430886,3644.1802
4008.6382113821137,3795.641
3280.487804878049,3914.9844
3452.235772357724,3712.4097
3539.634146341463,3603.1504
3480.6910569105694,3587.4456
3672.7642276422766,3570.3
3776.9308943089422,3627.6372
3507.621951219512,3710.5984
3557.9268292682923,3665.3767
3484.2479674796737,3635.3843
3352.642276422764,3595.8188
3388.2113821138205,3522.164
3417.682926829268,3484.1038
3813.0081300813004,3477.769
3424.7967479674785,3622.354
3179.3699186991876,3591.356
3170.7317073170734,3452.8027
3269.30894308943,3351.1982
3341.4634146341464,3333.0242
3175.8130081300824,3359.3264
3560.9756097560967,3320.9297
3466.463414634146,3424.4463
3268.2926829268285,3476.8618
3384.1463414634136,3426.0298
3150.406504065041,3422.313
3201.727642276422,3342.7593
3033.536585365853,3300.4802
3270.8333333333344,3220.7651
2988.8211382113814,3250.4597
2808.434959349594,3183.2258
2819.105691056911,3060.3916
2796.239837398374,2983.2822
2750.508130081301,2934.511
2929.8780487804884,2890.5303
3116.8699186991853,2924.748
2908.536585365853,3027.9233
2682.418699186992,3023.2178
2817.0731707317077,2919.9019
2950.7113821138205,2891.2163
2929.878048780488,2934.713
2927.8455284552842,2962.4065
3380.0813008130076,2973.6113
3130.081300813008,3141.4556
2893.29268292683,3178.2134
3051.829268292684,3089.9373
3129.0650406504064,3077.9573
3134.146341463415,3112.3662
3200.711382113822,3141.1265
3400.9146341463425,3182.8496
3207.317073170733,3284.378
3112.8048780487793,3284.9004
3378.556910569106,3236.478
3103.1504065040644,3298.8638
3127.540650406505,3253.109
3158.028455284552,3214.7422
3739.8373983739834,3205.6714
3352.1341463414637,3420.066
3057.9268292682937,3445.7769
2987.8048780487807,3320.394
2841.463414634147,3198.4092
2908.536585365854,3071.1914
2794.7154471544713,3018.4404
2997.459349593496,2956.1062
2783.028455284553,2987.8093
2568.59756097561,2943.9504
2642.784552845528,2832.423
2579.776422764228,2777.0322
2715.9552845528456,2731.6418
2905.487804878048,2745.456
2844.5121951219517,2833.226
2523.882113821138,2875.579
2670.223577235773,2771.5984
2568.089430894309,2740.588
2673.2723577235765,2698.0024
2735.2642276422766,2705.937
3160.0609756097556,2739.6216
2957.3170731707314,2918.4897
2951.2195121951218,2975.8599
2637.195121951219,2988.194
2707.317073170731,2876.2974
2570.6300813008133,2814.6062
2578.7601626016253,2737.4563
2450.7113821138214,2687.371
2777.439024390244,2615.763
2600.609756097562,2684.101
2510.1626016260166,2683.0974
2489.3292682926826,2639.357
2573.6788617886173,2599.3606
2563.5162601626016,2606.4478
2641.260162601626,2613.46
2835.365853658536,2644.273
2756.605691056912,2737.043
2547.256097560976,2775.2288
2572.6626016260166,2712.2913
2626.0162601626016,2668.1301
2710.8739837398375,2661.236
2652.9471544715448,2692.2708
2930.3861788617883,2697.4756
2626.016260162602,2798.0508
2607.2154471544713,2766.0767
2504.0650406504064,2715.9639
2593.495934959349,2646.5022
2495.9349593495936,2634.0413
2516.768292682927,2600.8384
2651.930894308943,2583.693
2574.186991869919,2623.6648
2445.6300813008133,2627.5725
2629.5731707317073,2578.049
2523.373983739837,2606.9077
2623.4756097560976,2598.4658
2566.565040650407,2623.8052
2627.5406504065045,2624.8477
2537.6016260162605,2641.8186
2596.0365853658536,2621.5955
2571.646341463414,2626.4868
2478.150406504065,2625.2466
2607.723577235773,2588.3154
2510.1626016260157,2607.5286
2728.1504065040663,2591.7773
2629.5731707317077,2656.0166
2557.9268292682923,2673.0503
2683.434959349594,2649.5444
2645.3252032520336,2674.3748
2713.922764227642,2683.0615
2914.6341463414624,2705.9297
2817.073170731707,2796.7085
2708.333333333334,2823.9639
2628.5569105691065,2789.5703
2666.1585365853657,2734.4268
2544.7154471544723,2715.2197
2477.642276422764,2665.8306
2492.8861788617883,2607.6267
2487.8048780487807,2576.4062
2475.1016260162605,2558.007
2471.5447154471553,2543.746
2537.093495934959,2535.5605
2513.211382113821,2555.3318
2546.2398373983747,2562.29
2505.5894308943093,2574.7158
2571.1382113821137,2568.2793
2486.7886178861786,2582.907
2507.621951219512,2566.2273
2426.3211382113823,2559.8599
2387.1951219512202,2527.3276
2522.8658536585367,2488.6714
2526.4227642276423,2510.9575
2695.630081300813,2537.2476
2526.422764227642,2613.278
2608.7398373983738,2606.783
2740.3455284552847,2622.1772
2447.1544715447153,2683.7207
2556.910569105691,2616.5825
2686.483739837398,2592.5461
2822.662601626016,2634.7551
2626.016260162601,2726.69
2821.1382113821132,2714.238
2826.2195121951227,2762.83
2819.105691056911,2805.5894
2713.41463414634,2827.019
2676.8292682926835,2799.6228
2721.0365853658536,2765.1675
2402.947154471545,2758.8323
2545.223577235772,2642.0908
2706.3008130081303,2605.0273
2605.182926829269,2653.5369
2546.7479674796755,2658.58
2649.3902439024396,2632.0925
2645.8333333333335,2648.6914
2480.69105691057,2663.2915
2635.670731707317,2610.3196
2565.040650406504,2625.137
2721.544715447155,2617.7202
2709.857723577236,2666.2534
2609.756097560975,2704.3967
2710.3658536585367,2689.3784
2549.2886178861786,2707.7913
2586.8902439024396,2666.2012
2522.3577235772364,2646.0686
2573.6788617886177,2611.752
2596.036585365853,2605.895
2602.1341463414637,2613.5986
2727.6422764227646,2622.3955
2583.841463414634,2673.566
2514.735772357724,2659.3098
2484.756097560976,2616.9397
2451.7276422764226,2576.89
2542.1747967479673,2542.0874
2430.3861788617883,2556.2559
2560.4674796747972,2527.4858
2475.609756097561,2547.3677
2622.967479674797,2534.4924
2554.3699186991876,2578.5686
2595.0203252032525,2592.2734
2611.788617886179,2610.0298
2607.215447154471,2628.004
2758.638211382113,2637.4075
2437.5000000000005,2696.9702
2588.9227642276423,2622.6697
2664.1260162601616,2611.186
2650.406504065041,2642.442
2582.317073170732,2659.7322
2556.910569105691,2645.1235
2598.0691056910573,2623.7593
2456.8089430894306,2622.6755
2767.276422764227,2573.6404
2695.630081300813,2648.6882
2693.5975609756106,2690.5986
2581.8089430894315,2707.9172
2594.5121951219517,2676.1062
2686.4837398373975,2654.6172
2670.223577235773,2675.061
2558.4349593495936,2687.4253
2557.9268292682927,2652.986
2615.3455284552847,2626.0027
2526.9308943089427,2632.6553
2725.609756097562,2606.6602
2700.711382113822,2659.699
2625.508130081301,2694.8877
2566.565040650406,2686.4458
2487.80487804878,2652.857
2479.1666666666665,2600.2788
2630.081300813009,2563.1665
2586.3821138211374,2599.002
2706.300813008131,2615.4658
2630.081300813009,2664.7551
2574.6951219512202,2672.1316
2567.581300813009,2652.093
2470.020325203252,2632.7986
2512.7032520325197,2585.9675
2473.5772357723577,2567.9575
2775.4065040650403,2546.3447
2712.9065040650403,2642.2432
2479.1666666666665,2699.1138
2445.630081300813,2641.205
2508.1300813008124,2575.4185
2583.3333333333326,2554.884
2612.80487804878,2574.849
2708.333333333334,2606.1958
2560.467479674796,2663.0872
2502.0325203252037,2649.188
2484.247967479674,2608.8823
2545.223577235772,2572.4917
2482.723577235772,2572.4255
2422.7642276422766,2556.7046
2639.7357723577225,2521.8042
2669.7154471544713,2576.5469
2482.723577235772,2635.0642
2419.2073170731705,2601.8289
2691.5650406504074,2544.6265
2792.682926829268,2607.9233
2713.4146341463415,2702.2812
3104.166666666667,2733.9028
2748.475609756097,2887.5508
2516.2601626016253,2868.9512
2650.4065040650403,2742.4688
2529.471544715447,2700.0103
2602.1341463414633,2644.976
2538.1097560975604,2636.0225
2764.735772357724,2614.3267
2928.6077235772364,2679.653
2536.0772357723577,2798.308
2473.577235772357,2735.7563
2497.459349593496,2643.491
2622.967479674796,2594.5134
2561.9918699186987,2616.4475
2785.569105691056,2618.8557
2703.760162601626,2697.6335
2737.2967479674803,2727.952
2668.6991869918697,2751.2598
2763.2113821138205,2737.928
2917.174796747967,2759.8472
2860.7723577235774,2836.1775
3263.719512195121,2871.5078
3175.30487804878,3033.9878
3036.58536585366,3122.7163
2966.4634146341464,3114.213
2971.036585365854,3071.4849
2969.5121951219508,3042.957
3028.4552845528447,3028.9023
3185.467479674797,3044.479
3310.9756097560976,3113.7485
3005.0813008130085,3211.7969
3055.3861788617887,3164.837
3016.768292682927,3130.4834
2999.491869918699,3103.4414
3017.276422764227,3080.2798
3307.4186991869915,3072.0632
3282.012195121951,3174.6821
2966.9715447154467,3246.583
2919.7154471544713,3169.5193
2969.5121951219517,3081.7683
2949.1869918699185,3047.2402
3074.186991869918,3025.2239
3399.390243902438,3059.6345
3226.6260162601616,3208.0933
3068.089430894309,3254.5688
3037.601626016259,3207.5703
3120.4268292682927,3153.4717
3072.1544715447158,3150.9507
3136.1788617886173,3138.7263
3459.3495934959337,3153.0852
3342.479674796748,3284.5054
3443.089430894309,3341.3042
3152.947154471545,3400.075
3327.2357723577247,3332.4795
3248.475609756098,3335.2039
3316.565040650406,3321.339
3745.934959349593,3334.0054
3825.7113821138214,3504.9976
3478.658536585365,3665.0022
3379.573170731707,3633.6475
3245.426829268293,3547.5513
3462.906504065041,3440.5942
3368.902439024391,3451.5786
3698.170731707317,3441.7378
3561.9918699186983,3550.977
3605.182926829268,3587.6323
3615.3455284552847,3615.5815
3467.9878048780492,3636.7725
6690.235690235691,6440.182
6739.89898989899,6585.8945
5989.89898989899,6698.3457
6595.959595959597,6485.5874
6891.414141414143,6526.9263
6386.363636363636,6708.86
6866.161616161616,6652.054
6759.25925925926,6755.513
6601.851851851854,6808.8896
6166.666666666666,6771.5366
6461.279461279461,6575.6606
6712.962962962964,6539.782
6871.212121212123,6640.264
6437.710437710438,6778.897
6777.777777777778,6709.399
6643.097643097645,6758.3687
5874.579124579125,6758.333
6563.973063973065,6467.2417
6419.19191919192,6496.232
6245.791245791248,6517.622
6468.013468013469,6459.984
6462.121212121212,6492.6606
